file_name ,stomata_count,,,,,,,
RGR_11_ad_3,,,,,,,,
RGR_12_ab_1,,,,,,,,
RGR_12_ab_2,,,,,,,,
RGR_12_ab_3,,,,,,,,
RGR_12_ad_1,,,,,,,,
RGR_12_ad_2,,,,,,,,
RGR_12_ad_3,,,,,,,,
RGR_13_ab_1,,,,,,,,
RGR_13_ab_2,,,,,,,,
RGR_13_ab_3,,,,,,,,
RGR_13_ad_1,,,,,,,,
RGR_13_ad_2,,,,,,,,
RGR_13_ad_3,,,,,,,,
RGR_14_ab_1,,,,,,,,
RGR_14_ab_2,,,,,,,,
RGR_14_ab_3,,,,,,,,
RGR_14_ad_1,,,,,,,,
RGR_14_ad_2,,,,,,,,
RGR_14_ad_3,,,,,,,,
RGR_15_ab_1,,,,,,,,
RGR_15_ab_2,,,,,,,,
RGR_15_ab_3,,,,,,,,
RGR_15_ad_1,,,,,,,,
RGR_15_ad_2,,,,,,,,
RGR_15_ad_3,,,,,,,,
RGR_16_ab_1,,,,,,,,
RGR_16_ab_2,,,,,,,,
RGR_16_ab_3,,,,,,,,
RGR_16_ad_1,,,,,,,,
RGR_16_ad_2,,,,,,,,
RGR_16_ad_3,,,,,,,,
RGR_2_ab_1,,,,,,,,
RGR_2_ab_2,,,,,,,,
RGR_2_ab_3,,,,,,,,
RGR_2_ad_1,,,,,,,,
RGR_2_ad_2,,,,,,,,
RGR_2_ad_3,,,,,,,,
RGR_3_ab_1,,,,,,,,
RGR_3_ab_2,,,,,,,,
RGR_3_ab_3,,,,,,,,
RGR_3_ad_1,,,,,,,,
RGR_3_ad_2,,,,,,,,
RGR_3_ad_3,,,,,,,,
RGR_4_ab_1,,,,,,,,
RGR_4_ab_2,,,,,,,,
RGR_4_ab_3,,,,,,,,
RGR_4_ad_1,,,,,,,,
RGR_4_ad_2,,,,,,,,
RGR_4_ad_3,,,,,,,,
RGR_5_ab_1,,,,,,,,
RGR_5_ab_2,,,,,,,,
RGR_5_ab_3,,,,,,,,
RGR_5_ad_1,,,,,,,,
RGR_5_ad_2,,,,,,,,
RGR_5_ad_3,,,,,,,,
RGR_6_ab_1,,,,,,,,
RGR_6_ab_2,,,,,,,,
RGR_6_ab_3,,,,,,,,
RGR_6_ad_1,,,,,,,,
RGR_6_ad_2,,,,,,,,
RGR_6_ad_3,,,,,,,,
RGR_7_ab_1,,,,,,,,
RGR_7_ab_2,,,,,,,,
RGR_7_ab_3,,,,,,,,
RGR_7_ad_1,,,,,,,,
RGR_7_ad_2,,,,,,,,
RGR_7_ad_3,,,,,,,,
RGR_8_ab_1,,,,,,,,
RGR_8_ab_2,,,,,,,,
RGR_8_ab_3,,,,,,,,
RGR_8_ad_1,,,,,,,,
RGR_8_ad_2,,,,,,,,
RGR_8_ad_3,,,,,,,,
RGR_9_ab_1,,,,,,,,
RGR_9_ab_2,,,,,,,,
RGR_9_ab_3,,,,,,,,
RGR_9_ad_1,,,,,,,,
RGR_9_ad_2,,,,,,,,
RGR_9_ad_3,,,,,,,,
SWB_1_ab_1,,,,,,,,
SWB_1_ab_2,,,,,,,,
SWB_1_ab_3,,,,,,,,
SWB_1_ad_1,,,,,,,,
SWB_1_ad_2,,,,,,,,
SWB_1_ad_3,,,,,,,,
SWB_10_ab_1,145,,,,,,,
SWB_10_ab_2,129,,,,,,,
SWB_10_ab_3,125,,,,,,,
SWB_10_ad_1,129,,,,,,,
SWB_10_ad_2,108,,,,,,,
SWB_10_ad_3,100,,,,,,,
SWB_11_ab_1,91,,,,,,,
SWB_11_ab_2,106,,,,,,,
SWB_11_ab_3,103,,,,,,,
SWB_11_ad_1,122,,,,,,,
SWB_11_ad_2,128,,,,,,,
SWB_11_ad_3,127,,,,,,,
SWB_12_ab_1,147,,,,,,,
SWB_12_ab_2,,,,,,,,
SWB_12_ab_3,114,,,,,,,
SWB_12_ad_1,,,,,,,,
SWB_12_ad_2,,,,,,,,
SWB_12_ad_3,123,,,,,,,
SWB_13_ab_1,,,,,,,,
SWB_13_ab_2,122,,,,,,,
SWB_13_ab_3,109,,,,,,,
SWB_13_ad_1,120,,,,,,,
SWB_13_ad_2,140,,,,,,,
SWB_13_ad_3,132,,,,,,,
SWB_14_ab_1,,,,,,,,
SWB_14_ab_2,,,,,,,,
SWB_14_ab_3,,,,,,,,
SWB_14_ad_1,,,,,,,,
SWB_14_ad_2,,,,,,,,
SWB_14_ad_3,127,,,,,,,
SWB_2_ab_1,,,,,,,,
SWB_2_ab_2,,,,,,,,
SWB_2_ab_3,,,,,,,,
SWB_2_ad_1,,,,,,,,
SWB_2_ad_2,,,,,,,,
SWB_2_ad_3,,,,,,,,
SWB_3_ab_1,,,,,,,,
SWB_3_ab_2,,,,,,,,
SWB_3_ab_3,,,,,,,,
SWB_3_ad_1,,,,,,,,
SWB_3_ad_2,,,,,,,,
SWB_3_ad_3,,,,,,,,
SWB_4_ab_1,,,,,,,,
SWB_4_ab_2,,,,,,,,
SWB_4_ab_3,,,,,,,,
SWB_4_ad_1,,,,,,,,
SWB_4_ad_2,,,,,,,,
SWB_4_ad_3,,,,,,,,
SWB_5_ab_1,,,,,,,,
SWB_5_ab_2,,,,,,,,
SWB_5_ab_3,,,,,,,,
SWB_5_ad_1,,,,,,,,
SWB_5_ad_2,,,,,,,,
SWB_5_ad_3,,,,,,,,
SWB_6_ab_1,,,,,,,,
