file_name,stomata_count,,Notes,,,,Scored by,
PGR_12_ad_1,342,,lots of bubbles/trichomes,,,,,
PGR_12_ad_2,312,,lots of bubbles/trichomes,,,,,
PGR_12_ad_3,346,,lots of bubbles/trichomes,,,,,
PGR_13_ab_1,460,,,,,,,
PGR_13_ab_2,413,,,,,,,
PGR_13_ab_3,439,,,,,,,
PGR_13_ad_1,205,,lots of bubbles and blurry,,,,,
PGR_13_ad_2,279,,lots of bubbles and blurry,,,,,
PGR_13_ad_3,306,,lots of trichomes?,,,,,
PGR_14_ab_1,387,,,,,,,
PGR_14_ab_2,380,,,,,,,
PGR_14_ab_3,358,,,,,,,
PGR_14_ad_1,279,,blurry bottom right corner,,,,,
PGR_14_ad_2,353,,blurry bottom left corner,,,,,
PGR_14_ad_3,289,,,,,,,
PGR_15_ab_1,265,,,,,,,
PGR_15_ab_2,232,,,,,,,
PGR_15_ab_3,217,,,,,,,
PGR_15_ad_1,292,,blurry bottom right corner ,,,,,
PGR_15_ad_2,274,,,,,,,
PGR_15_ad_3,263,,,,,,,
PGR_2_ab_1,375,,"super blurry in some areas, lots of trichomes",,,,Katherine,
PGR_2_ab_2,,,,,,,,
PGR_2_ab_3,,,,,,,,
PGR_2_ad_1,234,,very blurry in upper right corner,,,,Katherine,
PGR_2_ad_2,,,,,,,,
PGR_2_ad_3,,,,,,,,
PGR_3_ab_1,129,,,,,,Katherine,
PGR_3_ab_2,,,,,,,,
PGR_3_ab_3,,,,,,,,
PGR_3_ad_1,286,,,,,,Katherine,
PGR_3_ad_2,,,,,,,,
PGR_3_ad_3,,,,,,,,
PGR_4_ab_1,70,,,,,,Katherine,
PGR_4_ab_2,,,,,,,,
PGR_4_ab_3,,,,,,,,
PGR_4_ad_1,73,,,,,,Katherine,
PGR_4_ad_2,,,,,,,,
PGR_4_ad_3,,,,,,,,
PGR_5_ab_1,123,,,,,,Katherine,
PGR_5_ab_2,,,,,,,,
PGR_5_ab_3,,,,,,,,
PGR_5_ad_1,157,,lots of bubbles,,,,Katherine,
PGR_5_ad_2,,,,,,,,
PGR_5_ad_3,,,,,,,,
PGR_6_ab_1,405,,,,,,Katherine,
PGR_6_ab_2,,,,,,,,
PGR_6_ab_3,,,,,,,,
PGR_6_ad_1,237,,super bubbly and blurry near bottom,,,,Katherine,
PGR_6_ad_2,,,,,,,,
PGR_6_ad_3,,,,,,,,
PGR_7_ab_1,,,,,,,,
PGR_7_ab_2,,,,,,,,
PGR_7_ab_3,,,,,,,,
PGR_7_ad_1,,,,,,,,
PGR_7_ad_2,,,,,,,,
PGR_7_ad_3,,,,,,,,
PGR_8_ab_1,293,,,,,,,
PGR_8_ab_2,248,,blurry bottom right corner ,,,,,
PGR_8_ab_3,316,,,,,,,
PGR_8_ad_1,260,,,,,,,
PGR_8_ad_2,203,,,,,,,
PGR_8_ad_3,185,,,,,,,
PGR_9_ab_1,330,,,,,,,
PGR_9_ab_2,356,,,,,,,
PGR_9_ab_3,340,,,,,,,
PGR_9_ad_1,311,,,,,,,
PGR_9_ad_2,353,,,,,,,
PGR_9_ad_3,371,,,,,,,
RGR_1_ab_1,,,,,,,,
RGR_1_ab_2,,,,,,,,
RGR_1_ab_3,,,,,,,,
RGR_1_ad_1,,,,,,,,
RGR_1_ad_2,,,,,,,,
RGR_1_ad_3,,,,,,,,
RGR_10_ab_1,81,,,,,,,
RGR_10_ab_2,93,,,,,,,
RGR_10_ab_3,80,,,,,,,
RGR_10_ad_1,98,,,,,,,
RGR_10_ad_2,85,,,,,,,
RGR_10_ad_3,97,,,,,,,
RGR_11_ab_1,81,,,,,,,
RGR_11_ab_2,108,,,,,,,
RGR_11_ab_3,106,,,,,,,
RGR_11_ad_1,157,,,,,,,
RGR_11_ad_2,146,,,,,,,
RGR_11_ad_3,153,,,,,,,
RGR_12_ab_1,118,,,,,,,
RGR_12_ab_2,115,,,,,,,
RGR_12_ab_3,128,,,,,,,
RGR_12_ad_1,114,,,,,,,
RGR_12_ad_2,153,,,,,,,
RGR_12_ad_3,137,,,,,,,
RGR_13_ab_1,72,,,,,,,
RGR_13_ab_2,73,,,,,,,
RGR_13_ab_3,83,,,,,,,
RGR_13_ad_1,137,,,,,,,
RGR_13_ad_2,124,,,,,,,
RGR_13_ad_3,144,,,,,,,
RGR_14_ab_1,84,,,,,,,
RGR_14_ab_2,96,,,,,,,
RGR_14_ab_3,91,,,,,,,
RGR_14_ad_1,127,,,,,,,
RGR_14_ad_2,131,,,,,,,
RGR_14_ad_3,126,,,,,,,
RGR_15_ab_1,98,,,,,,,
RGR_15_ab_2,101,,,,,,,
RGR_15_ab_3,92,,,,,,,
RGR_15_ad_1,128,,,,,,,
RGR_15_ad_2,126,,,,,,,
RGR_15_ad_3,109,,,,,,,
RGR_16_ab_1,171,,,,,,,
RGR_16_ab_2,160,,,,,,,
RGR_16_ab_3,150,,,,,,,
RGR_16_ad_1,180,,,,,,,
RGR_16_ad_2,158,,,,,,,
RGR_16_ad_3,174,,,,,,,
RGR_2_ab_1,,,,,,,,
RGR_2_ab_2,,,,,,,,
RGR_2_ab_3,,,,,,,,
RGR_2_ad_1,,,,,,,,
RGR_2_ad_2,,,,,,,,
RGR_2_ad_3,,,,,,,,
RGR_3_ab_1,,,,,,,,
RGR_3_ab_2,,,,,,,,
RGR_3_ab_3,,,,,,,,
RGR_3_ad_1,,,,,,,,
RGR_3_ad_2,,,,,,,,
RGR_3_ad_3,,,,,,,,
RGR_4_ab_1,,,,,,,,
RGR_4_ab_2,,,,,,,,
RGR_4_ab_3,,,,,,,,
RGR_4_ad_1,,,,,,,,
RGR_4_ad_2,,,,,,,,
RGR_4_ad_3,,,,,,,,
RGR_5_ab_1,,,,,,,,
RGR_5_ab_2,,,,,,,,
RGR_5_ab_3,,,,,,,,
RGR_5_ad_1,,,,,,,,
RGR_5_ad_2,,,,,,,,
RGR_5_ad_3,,,,,,,,
RGR_6_ab_1,,,,,,,,
RGR_6_ab_2,,,,,,,,
RGR_6_ab_3,,,,,,,,
RGR_6_ad_1,,,,,,,,
RGR_6_ad_2,,,,,,,,
RGR_6_ad_3,,,,,,,,
RGR_7_ab_1,,,,,,,,
RGR_7_ab_2,,,,,,,,
RGR_7_ab_3,,,,,,,,
RGR_7_ad_1,,,,,,,,
RGR_7_ad_2,,,,,,,,
RGR_7_ad_3,,,,,,,,
RGR_8_ab_1,171,,,,,,,
RGR_8_ab_2,158,,,,,,,
RGR_8_ab_3,172,,,,,,,
RGR_8_ad_1,182,,,,,,,
RGR_8_ad_2,192,,,,,,,
RGR_8_ad_3,220,,,,,,,
RGR_9_ab_1,74,,,,,,,
RGR_9_ab_2,69,,,,,,,
RGR_9_ab_3,81,,,,,,,
RGR_9_ad_1,82,,,,,,,
RGR_9_ad_2,87,,,,,,,
RGR_9_ad_3,86,,,,,,,
