file_name,stomate_rep,stomate_length_um,notes
OAE_11_ad_1,1,17.754,
,2,20.583,
,3,24.06,
,4,18.817,
,5,16.983,
,6,19.189,
,7,19.902,
,8,21.199,
,9,18.788,
,10,19.901,
OAE_12_ab_1,1,22.351,
,2,19.78,
,3,24.345,
,4,23.921,
,5,25.956,
,6,25.564,
,7,18.548,
,8,26.155,
,9,20.154,
,10,21.932,
OAE_12_ad_1,1,22.236,
,2,21.878,
,3,23.379,
,4,24.03,
,5,24.926,
,6,23.401,
,7,24.095,
,8,20.152,
,9,24.707,
,10,19.113,
OAE_13_ab_1,1,23.376,
,2,21.38,
,3,22.837,
,4,20.377,
,5,22.784,
,6,20.435,
,7,21.375,
,8,24.933,
,9,20.195,
,10,21.156,
OAE_13_ad_1,1,23.6,
,2,19.15,
,3,20.056,
,4,23.33,
,5,25.147,
,6,22.717,
,7,24.466,
,8,22.522,
,9,21.65,
,10,22.756,
OAE_14_ab_1,1,19.462,
,2,21.801,
,3,19.606,
,4,21.699,
,5,24.82,
,6,23.063,
,7,20.459,
,8,20.787,
,9,21.698,
,10,21.792,
OAE_14_ad_1,1,22.664,
,2,22.348,
,3,23.321,
,4,20.671,
,5,20.841,
,6,26.364,
,7,24.064,
,8,20.98,
,9,23.521,
,10,20.396,
OAE_2_ab_1,1,21.645,
,2,22.081,
,3,24.095,
,4,22.769,
,5,23.25,
,6,23.817,
,7,27.908,
,8,21.842,
,9,22.938,
,10,22.075,
OAE_2_ad_1,1,25.85,
,2,24.937,
,3,27.331,
,4,27.201,
,5,28.152,
,6,25.768,
,7,25.26,
,8,22.822,
,9,26.292,
,10,27.273,
OAE_3_ab_1,1,25.616,
,2,25.312,
,3,27.527,
,4,23.97,
,5,27.577,
,6,22.839,
,7,25.137,
,8,24.477,
,9,21.177,
,10,24.091,
OAE_3_ad_1,1,24.135,
,2,25.459,
,3,22.711,
,4,22.643,
,5,24.936,
,6,23.934,
,7,24.516,
,8,26.086,
,9,25.628,
,10,23.786,
OAE_4_ab_1,1,16.212,
,2,17.961,
,3,23.5,
,4,21.668,
,5,19.68,
,6,17.839,
,7,20.034,
,8,20.619,
,9,16.592,
,10,20.32,
OAE_4_ad_1,1,25.298,
,2,23.859,
,3,22.523,
,4,23.495,
,5,25.036,
,6,23.251,
,7,21.24,
,8,21.962,
,9,20.209,
,10,20.176,
OAE_5_ab_1,1,19.243,
,2,20.694,
,3,25.234,
,4,18.146,
,5,20.916,
,6,21.378,
,7,18.094,
,8,17.849,
,9,18.986,
,10,20.386,
OAE_5_ad_1,1,22.034,
,2,22.75,
,3,22.227,
,4,22.396,
,5,22.856,
,6,22.048,
,7,22.425,
,8,20.72,
,9,22.286,
,10,22.8,
OAE_6_ab_1,1,25.102,
,2,21.773,
,3,21.325,
,4,23.153,
,5,19.242,
,6,22.459,
,7,19.731,
,8,17.873,
,9,21.548,
,10,19.913,
OAE_6_ad_1,1,14.695,
,2,21.783,
,3,17.557,
,4,15.44,
,5,18.278,
,6,18.35,
,7,18.508,
,8,17.949,
,9,20.692,
,10,19.22,
OAE_7_ab_1,1,20.159,
,2,17.755,
,3,21.254,
,4,22.69,
,5,23.767,
,6,20.617,
,7,20.185,
,8,18.964,
,9,21.526,
,10,20.295,
OAE_7_ad_1,1,20.629,
,2,25.005,
,3,27.014,
,4,22.846,
,5,22.271,
,6,21.161,
,7,21.797,
,8,25.603,
,9,26.305,
,10,22.326,
OAE_8_ab_1,1,n/a,no files
,2,n/a,
,3,n/a,
,4,n/a,
,5,n/a,
,6,n/a,
,7,n/a,
,8,n/a,
,9,n/a,
,10,n/a,
OAE_8_ad_1,1,n/a,no files
,2,n/a,
,3,n/a,
,4,n/a,
,5,n/a,
,6,n/a,
,7,n/a,
,8,n/a,
,9,n/a,
,10,n/a,
OAE_9_ab_1,1,23.101,
,2,23.419,
,3,25.388,
,4,22.302,
,5,23.304,
,6,27.523,
,7,23.369,
,8,22.692,
,9,27.58,
,10,21.744,
OAE_9_ad_1,1,22.454,
,2,21.359,
,3,22.285,
,4,18.721,
,5,19.313,
,6,23.283,
,7,24.046,
,8,25.181,
,9,26.722,
,10,22.909,
OPB_1_ab_1,1,20.816,
,2,23.902,
,3,23.479,
,4,23.973,
,5,20.508,
,6,23.491,
,7,18.541,
,8,22.867,
,9,23.77,
,10,24.409,
OPB_1_ad_1,1,24.655,
,2,24.687,
,3,23.505,
,4,27.191,
,5,26.813,
,6,24.862,
,7,24.993,
,8,25.402,
,9,18.541,
,10,26.827,
OPB_10_ab_1,1,24.226,
,2,20.646,
,3,21.654,
,4,22.898,
,5,25.134,
,6,25.427,
,7,23.2,
,8,26.017,
,9,23.672,
,10,22.188,
OPB_10_ad_1,1,21.294,
,2,24.372,
,3,22.263,
,4,21.6,
,5,21.538,
,6,19.849,
,7,24.773,
,8,20.766,
,9,23.076,
,10,19.371,
OPB_11_ab_1,1,20.991,
,2,23.764,
,3,22.559,
,4,24.135,
,5,23.265,
,6,20.508,
,7,20.307,
,8,22.366,
,9,24.148,
,10,20.511,
OPB_11_ad_1,1,22.023,
,2,20,
,3,20.637,
,4,22.806,
,5,24.958,
,6,20.881,
,7,21.087,
,8,20.838,
,9,19.506,
,10,21.615,
OPB_12_ab_1,1,19.539,
,2,22.542,
,3,23.868,
,4,24.684,
,5,24.853,
,6,22.604,
,7,23.225,
,8,22.723,
,9,19.945,
,10,23.338,
OPB_12_ad_1,1,25.962,
,2,24.466,
,3,29.017,
,4,25.225,
,5,18.608,
,6,24.726,
,7,25.799,
,8,26.448,
,9,24.666,
,10,27.07,
OPB_13_ab_1,1,23.465,
,2,25.992,
,3,22.345,
,4,27.903,
,5,25.949,
,6,22.814,
,7,25.859,
,8,20.236,
,9,23.51,
,10,25.096,
OPB_13_ad_1,1,23.194,
,2,25.333,
,3,21.867,
,4,21.902,
,5,23.438,
,6,22.752,
,7,22.951,
,8,21.322,
,9,22.489,
,10,23.529,
OPB_14_ab_1,1,26.333,
,2,23.119,
,3,26.842,
,4,22.966,
,5,26.476,
,6,23.356,
,7,24.286,
,8,29.53,
,9,25.805,
,10,28.934,
OPB_14_ad_1,1,26.205,
,2,27.215,
,3,26.946,
,4,28.445,
,5,23.866,
,6,25.155,
,7,26.967,
,8,26.683,
,9,26.907,
,10,24.752,
OPB_15_ab_1,1,23,
,2,24.013,
,3,24.545,
,4,24.166,
,5,22.004,
,6,14.165,
,7,25.211,
,8,23.887,
,9,21.103,
,10,20.674,
OPB_15_ad_1,1,21.71,
,2,21.764,
,3,20.302,
,4,23.85,
,5,22.02,
,6,20.787,
,7,23.52,
,8,20.607,
,9,25.488,
,10,21.654,
OPB_2_ab_1,1,20.241,
,2,21.862,
,3,24.095,
,4,22.632,
,5,22.853,
,6,22.478,
,7,21.748,
,8,21.676,
,9,21.685,
,10,23.008,
OPB_2_ad_1,1,26.16,
,2,25.384,
,3,27.817,
,4,26.412,
,5,28.76,
,6,25.224,
,7,26.009,
,8,27.564,
,9,24.392,
,10,28.102,
OPB_3_ab_1,1,24.56,
,2,23.052,
,3,25.403,
,4,24.267,
,5,23.061,
,6,24.19,
,7,23.92,
,8,24.545,
,9,23.873,
,10,21.691,
OPB_3_ad_1,1,27.044,
,2,27.136,
,3,24.939,
,4,27.455,
,5,25.108,
,6,26.636,
,7,26.034,
,8,24.985,
,9,23.334,
,10,26.751,
OPB_4_ab_1,1,10.564,
,2,9.589,
,3,10.6,
,4,11.315,
,5,9.947,
,6,11.56,
,7,10.304,
,8,11.844,
,9,11.377,
,10,12.092,
OPB_4_ad_1,1,24.897,
,2,23.561,
,3,24.948,
,4,26.964,
,5,25.29,
,6,24.873,
,7,23.529,
,8,26.577,
,9,23.831,
,10,28.415,
OPB_5_ab_1,1,23.654,
,2,22.069,
,3,22.971,
,4,24.216,
,5,26.015,
,6,21.477,
,7,21.715,
,8,22.433,
,9,22.291,
,10,20.802,
OPB_5_ad_1,1,23.238,
,2,27.817,
,3,25.495,
,4,23.259,
,5,25.678,
,6,24.003,
,7,23.923,
,8,22.951,
,9,23.734,
,10,24.697,
OPB_6_ab_1,1,26.574,
,2,24.687,
,3,24.652,
